market,campaign,ad_type,state,spend,sales,orders
US,[US]_B0F45C2YHV_TIRE_SP_EX_tire shine spray,SP,enabled,26.78,74.75,5.0
US,[US]_B0FYRJ1966_PLREST_SP_EX_BRAND_cerakote ceramic trim coat restoration kit,SP,enabled,26.55,232.64,14.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote wipes,SP,enabled,26.55,234.3,7.0
US,[US]_B084RQKLV8_HL_SP_BR_headlamp restoration kit,SP,enabled,26.17,106.8,6.0
US,[US]_B0B94G13CN_RCPAINT_SP_BR_ceracoat,SP,enabled,25.71,105.94,6.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote plastic restorer,SP,enabled,25.22,202.72,12.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_BR_ph neutral car wash soap,SP,enabled,23.88,108.74,8.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_back to black plastic restorer,SP,enabled,23.7,59.6,4.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_BR_cerakote wash,SP,enabled,23.63,51.63,3.0
US,[US]_B0F45C2YHV_TIRE_SP_BR_ceramic tire shine,SP,enabled,23.46,61.73,4.0
US,[US]_B0F45C2YHV_TIRE_SP_PH_tire cleaner,SP,enabled,23.35,29.9,2.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_plastic restorer,SP,enabled,23.31,84.4,5.0
US,[US]_B0F45C2YHV_TIRE_SB_EX_BRANDED,SB,enabled,22.63,265.32,13.0
US,[US]_B07SHJVK4G_TRIM_SP_AT_CLOSE,SP,enabled,22.44,105.41,7.0
US,[US}_B0F45C2YHV_TIRE_SP_BR_cerakote tire,SP,enabled,22.23,334.93,17.0
US,[US]_B084RQKLV8_HL_SP_EX_headlamp cleaner restorer kit,SP,enabled,21.38,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_CAT_Automotive Wheel Care,SP,enabled,20.19,29.9,2.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote trim,SP,enabled,19.91,300.95,17.0
US,[US]_B084RQKLV8_HL_SP_EX_auto headlight restoration kit,SP,enabled,19.06,124.58,6.0
US,[US]_B0F23KPC5G_ALLIN_SP_PT_SELFDEF,SP,enabled,18.81,70.85,3.0
US,[US]_B07SHJVK4G_TRIM_SP_BR_ceracoat,SP,enabled,18.17,216.18,8.0
US,[US]_B084RQKLV8_HL_SP_EX_ceramic headlight,SP,enabled,15.53,161.55,9.0
US,[US]_B0DKVZRX69_INTERIOR_SP_BD_cerakote kit,SP,paused,15.07,26.53,2.0
US,[US]_B08DDJ49X7_HLPRO_SP_AT_SUB_LOOSE,SP,enabled,15.0,64.32,2.0
US,[US]_B0H3QRH9B7_PROMARINE_SP_EX_KWMIX,SP,enabled,14.89,0.0,0.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_PT_SELFDEF,SP,enabled,14.62,31.94,2.0
US,[US]_B0FYRJ1966_PLREST_SP_EX_BRAND_cerakote trim restorer,SP,enabled,13.65,120.39,6.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_car tire shine,SP,enabled,13.11,44.85,3.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_B01KKOF8IE_CLEAR LIGHTS TECH,SP,enabled,12.35,35.9,2.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_EX_cerakote car wash,SP,enabled,12.31,191.53,11.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote black trim restorer,SP,enabled,12.07,253.15,10.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_exterior plastic restorer,SP,enabled,11.47,29.8,2.0
US,[US]_B084RQKLV8_HL_SP_PH_ceramic headlight cleaner,SP,enabled,11.12,35.9,2.0
US,[US]_B0CN8HJSYM_PROPAINT_B2B_SP_EX_ceramic coating,SP,enabled,10.68,0.0,0.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_PT_B0F45C2YHV_TIRE,SP,enabled,9.68,33.92,2.0
US,[US]_B084RQKLV8_HL_SP_EX_headlight renewal kit,SP,enabled,9.59,35.9,2.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_PT_COMP_B009OTW646_CHEMICAL GUYS,SP,enabled,8.3,25.94,2.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_tire coat,SP,enabled,8.21,45.87,3.0
US,[US]_B084RQKLV8_HL_SP_EX_clear coat for headlights,SP,enabled,7.92,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_cerakote ceramic coatings,SP,enabled,7.28,77.02,3.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_ceramic trim coat restoration kit,SP,enabled,7.06,102.35,6.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_rapid ceramic paint sealant,SP,enabled,6.76,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_PH_vehicle headlight cleaner,SP,enabled,6.59,35.9,2.0
US,[US]_B084RQKLV8_HL_SP_EX_BRAND_cerakote wipes,SP,enabled,6.15,52.78,3.0
US,[US]_B084RQKLV8_HL_SP_EX_car lens restoration kit,SP,enabled,6.15,17.95,1.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_B00GZLMEPM_MOTHERS,SP,enabled,6.02,0.0,0.0
US,[US]_B0F3GD9G6N_FLCVR_SP_PT_SELFDEF,SP,enabled,5.99,288.75,5.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote trim restorer wipes,SP,enabled,5.98,33.76,2.0
US,[US]_B0DJMW6283_MFTOWELS_SP_BR_cerakote towels,SP,enabled,5.24,59.76,3.0
US,[US]_B084RQKLV8_HL_SP_PH_ceramic headlight restoration kit,SP,enabled,5.03,35.9,2.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_hot shine tire spray,SP,enabled,4.5,14.95,1.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_ceramic tire shine,SP,enabled,4.4,45.82,3.0
US,[US]_B07SHJVK4G_PLASTIC_SP_EX_car trim restorer black,SP,enabled,4.27,0.0,0.0
US,[US]_B0F3GD9G6N_FLCVR_SP_EX_BRAND,SP,enabled,4.17,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote trim coat wipes,SP,enabled,4.0,50.64,3.0
US,[US]_B0H3QLBNZF_PROPPF_SP_EX_KWMIX,SP,enabled,3.84,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_BRAND_cerakote headlight wipes,SP,enabled,3.66,17.95,1.0
US,[US]_B084RQKLV8_HL_SP_BR_head lamp cleaner,SP,enabled,3.65,17.95,1.0
US,[US]_B084RQKLV8_HL_SP_EX_head light restore kit,SP,enabled,3.54,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_BRAND_cerakote spray,SP,enabled,3.15,14.95,1.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakote ceramic trim restorer,SP,enabled,3.03,33.76,2.0
US,[US]_B084RQKLV8_HL_SP_EX_head light cleaning kits restore,SP,enabled,2.96,17.95,1.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_tire wax,SP,enabled,2.9,0.0,0.0
US,[US]_B0F2JL4F2W_CORE_SP_EX_BRAND,SP,enabled,2.85,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote trim restore,SP,enabled,2.8,33.76,2.0
US,[US]_B0DJMW6283_MICROFIBER_SP_EX_microfiber cleaning cloth,SP,paused,2.67,9.95,1.0
